Name,Mmax,Instruments/Bands,Type,Phot.,Spec.
SDSS-II SN 6660,-18.7,"u', g', r', i', z'",Ib/c,89,
SDSS-II SN 6813,-19.8244,"u', g', r', i', z'",Ib/c,89,
SDSS-II SN 20682,,"u', g', r', i', z'",Ib/c,91,
SDSS-II SN 19195,-20.8,"u', g', r', i', z'",Ib/c,92,
SDSS-II SN 19599,-21.3346,"u', g', r', i', z'",Ib/c,92,
SDSS-II SN 8086,-16.22,"u', g', r', i', z'",Ib/c,92,
SN2007sj,-17.35,"u', g', r', i', z'",Ib/c,92,1
SDSS-II SN 10396,,"u', g', r', i', z'",Ib/c,93,
SDSS-II SN 6861,-18.6739,"u', g', r', i', z'",Ib/c,93,
SDSS-II SN 13330,,"u', g', r', i', z'",Ib/c,95,
SDSS-II SN 14419,-18.6087,"u', g', r', i', z'",Ib/c,95,
SDSS-II SN 6367,,"u', g', r', i', z'",Ib/c,95,
SDSS-II SN 15367,-17.91,"u', g', r', i', z'",Ib/c,96,
SDSS-II SN 16708,,"u', g', r', i', z'",Ib/c,96,
SDSS-II SN 6520,-18.3065,"u', g', r', i', z'",Ib/c,96,
SDSS-II SN 17312,-16.891,"u', g', r', i', z'",Ib/c,97,
SDSS-II SN 19793,-21.165,"u', g', r', i', z'",Ib/c,98,
SDSS-II SN 20301,,"u', g', r', i', z'",Ib/c,98,
SDSS-II SN 20886,-21.2336,"u', g', r', i', z'",Ib/c,98,
SDSS-II SN 16169,-20.016,"u', g', r', i', z'",Ib/c,99,
SDSS-II SN 18468,-18.1923,"u', g', r', i', z'",Ib/c,99,
SDSS-II SN 22282,-16.785,"u', g', r', i', z'",Ib/c,99,
SDSS-II SN 6213,-18.4997,"u', g', r', i', z'",Ib/c,99,
SDSS-II SN 13979,,"u', g', r', i', z'",Ib/c,100,
SDSS-II SN 16085,-19.0235,"u', g', r', i', z'",Ib/c,100,
SDSS-II SN 8196,-17.462,"u', g', r', i', z'",Ib/c,100,
2MASS J00503990-0102312,-20.0448,"u', g', r', i', z'",Ib/c,101,
SDSS-II SN 13777,-20.8693,"u', g', r', i', z'",Ib/c,101,
SDSS-II SN 9317,-19.0592,"u', g', r', i', z'",Ib/c,101,
SDSS-II SN 2234,-16.678,"u', g', r', i', z'",Ib/c,102,
SDSS-II SN 11927,-18.7485,"u', g', r', i', z'",Ib/c,103,
SDSS-II SN 12035,,"u', g', r', i', z'",Ib/c,103,
SDSS-II SN 20999,-17.332,"u', g', r', i', z'",Ib/c,103,
SDSS-II SN 18884,-18.75,"u', g', r', i', z'",Ib/c,104,
SDSS-II SN 19065,-19.1952,"u', g', r', i', z'",Ib/c,104,
SDSS-II SN 21046,-20.812,"u', g', r', i', z'",Ib/c,104,
SDSS-II SN 4664,,"u', g', r', i', z'",Ib/c,105,
SDSS-II SN 5247,-20.6211,"u', g', r', i', z'",Ib/c,105,
SDSS-II SN 13269,,"u', g', r', i', z'",Ib/c,106,
SDSS-II SN 15343,-19.1811,"u', g', r', i', z'",Ib/c,106,
SDSS-II SN 15757,-17.657,"u', g', r', i', z'",Ib/c,106,
SDSS-II SN 15994,-18.7905,"u', g', r', i', z'",Ib/c,106,
SDSS-II SN 16125,-18.1256,"u', g', r', i', z'",Ib/c,106,
SDSS-II SN 16282,-17.533,"u', g', r', i', z'",Ib/c,106,
SDSS-II SN 16452,-19.1976,"u', g', r', i', z'",Ib/c,106,
SDSS-II SN 7923,,"u', g', r', i', z'",Ib/c,106,
SDSS-II SN 14695,-19.1141,"u', g', r', i', z'",Ib/c,107,
SDSS-II SN 15803,-20.8916,"u', g', r', i', z'",Ib/c,107,
SDSS-II SN 16768,-18.5685,"u', g', r', i', z'",Ib/c,107,
SDSS-II SN 14532,-19.3492,"u', g', r', i', z'",Ib/c,108,
SDSS-II SN 19190,,"u', g', r', i', z'",Ib/c,108,
SDSS-II SN 11305,-18.7,"u', g', r', i', z'",Ib/c,109,
SDSS-II SN 13458,-20.1263,"u', g', r', i', z'",Ib/c,109,
SDSS-II SN 11241,-18.082,"u', g', r', i', z'",Ib/c,111,
SDSS-II SN 14090,-20.5216,"u', g', r', i', z'",Ib/c,112,
SDSS-II SN 15943,-19.2542,"u', g', r', i', z'",Ib/c,112,
SDSS-II SN 14169,-20.4997,"u', g', r', i', z'",Ib/c,114,
SDSS-II SN 17107,-18.754,"u', g', r', i', z'",Ib/c,114,
SDSS-II SN 14177,-20.2295,"u', g', r', i', z'",Ib/c,115,
SDSS-II SN 13482,-20.287,"u', g', r', i', z'",Ib/c,126,
SDSS-II SN 14591,-20.4,"u', g', r', i', z'",Ib/c,128,
SDSS-II SN 16976,-16.7,"u', g', r', i', z'",Ib/c,129,
SDSS-II SN 4808,-20.234,"u', g', r', i', z'",Ib/c,158,
SDSS-II SN 17897,,"u', g', r', i', z'",Ib/c,164,
SDSS-II SN 14661,-18.5659,"u', g', r', i', z'",Ib/c,169,
SN2005im,-18.2648,"u', g', r', i', z'",Ib/c,185,
SDSS-II SN 19045,-17.26,"u', g', r', i', z'",Ib/c,195,
SDSS-II SN 16114,,"u', g', r', i', z'",Ib/c,203,
SDSS-II SN 15946,-20.7464,"u', g', r', i', z'",Ib/c,210,
OGLE15jy,-20,I,Ib/c?,24,1
PS15bvb,-17,"y, g, r, i, z",Ib/IIb,10,1
ASASSN-15ed,-16.44,"y, g, r, i, z",Ibn,9,15
SN2000er,-19,"C, B, V, R",Ibn,11,5
LSQ12btw,-19.3,"Z, V, R, I",Ibn,42,6
SN2011hw,-18,"UVOT (W2, W1, M2, U, B, V), B, R, I",Ibn,54,14
SN2010al,-18.3,"UVOT (W2, W1, M2, U, B, V)",Ibn,61,19
PS1-12sk,-19.28,"RATCam (u, g, r, i, z), UVOT (W2, W1, M2), y, U, B, g, V, r, i, z, J, H, K",Ibn,75,5
LSQ13ccw,-17.9,"B, V, R, I",Ibn,94,3
SN2015U,-16.3,"clear, B, V, R, I",Ibn,102,20
OGLE-2012-SN-006,-20,"KS, U, B, V, R, I, J, H",Ibn,312,19
SN2006jc,-17.9,"UVOT (W2, W1, M2, U, B, V), Ks, U, B, V, r', R, i', I, J, H",Ibn,690,72
SN2001bb,-18,"C, R",Ic,6,1
SN2002ho,-16,"C, R",Ic,6,
PS1-14kd,,"w, y, g, r, i, z",Ic,6,
PS16ccd,-20,"y, g, r, i, z",Ic,6,1
SN2002cj,-19,"C, V, R",Ic,7,1
SN2002bl,-18,"C, R",Ic,9,1
SN2003L,-19.9,"C, R",Ic,9,2
SN1997ei,-17.05,"V, R",Ic,10,4
SN2001ch,-17,"C, R",Ic,10,
SN2002jp,-17,"C, R",Ic,10,1
SN2000ew,-17,"C, R",Ic,11,1
SN2010S,,"UVOT (W2, W1, M2, U, B, V), C",Ic,11,
SN2006ab,-16,"V, R",Ic,12,
SN2016cce,-16,"w, y, r, i, z",Ic,12,1
SN1991N,-16,"B, V",Ic,13,9
SN2008an,-16.3,"B, V, r', i'",Ic,13,2
PS15bap,-20,"y, g, r, i, z",Ic,13,
SN1997dq,-15,"B, V, R",Ic,14,17
SN2000F,-14.1,"C, B, V, R, I",Ic,14,2
SN2007aw,-14,"B, V, r', i'",Ic,15,
SN2008hh,-19,"Ks, J, H",Ic,15,
Gaia16amw,,"y, g, r, i, z",Ic,17,
PS15axw,-20,"y, g, r, i, z",Ic,18,
SN2004ge,-17,"V, R",Ic,19,1
J143227.42+333225.1,-23.58,"i, z",Ic,20,3
PS15cvn,-20,"C, w, y, g, r, i, z",Ic,20,1
SN2014eh,-17.577,"w, y, g, r, i, z",Ic,22,
SN1992ar,-18.2,"B, V, R",Ic,23,
