## Template SN Ibc light-curves from Drout et al., 2010
## 
## Time wrt Vmax       Vmag-Vmax
################################################
      -20.000000       4.0000000 
      -19.000000       3.7379001 
      -18.000000       3.3006834 
      -17.000000       2.6723914 
      -16.000000       2.0965908 
      -15.000000       1.6257123 
      -14.000000       1.2974338 
      -13.000000       1.1121214 
      -12.000000      0.96255785 
      -11.000000      0.80312832 
      -10.000000      0.66869410 
      -9.0000000      0.69658990 
      -8.0000000      0.68321064 
      -7.0000000      0.64165931 
      -6.0000000      0.42096966 
      -5.0000000      0.26930190 
      -4.0000000      0.16664257 
      -3.0000000     0.099800373 
      -2.0000000     0.059921571 
      -1.0000000     0.034311036 
       0.0000000     0.027633534 
       1.0000000     0.030836470 
       2.0000000     0.054103900 
       3.0000000     0.087274187 
       4.0000000      0.13555088 
       5.0000000      0.18958444 
       6.0000000      0.24939948 
       7.0000000      0.31324983 
       8.0000000      0.38388217 
       9.0000000      0.46251668 
       10.000000      0.54359151 
       11.000000      0.62528329 
       12.000000      0.70291990 
       13.000000      0.77821293 
       14.000000      0.85177748 
       15.000000      0.92757804 
       16.000000       1.0004958 
       17.000000       1.0680570 
       18.000000       1.1255410 
       19.000000       1.1824303 
       20.000000       1.2394234 
       21.000000       1.2996656 
       22.000000       1.3547989 
       23.000000       1.4051069 
       24.000000       1.4557652 
       25.000000       1.5044988 
       26.000000       1.5534169 
       27.000000       1.5954324 
       28.000000       1.6436529 
       29.000000       1.6956278 
       30.000000       1.7435493 
       31.000000       1.7838210 
       32.000000       1.8185099 
       33.000000       1.8550557 
       34.000000       1.8857374 
       35.000000       1.9122561 
       36.000000       1.9357749 
       37.000000       1.9591104 
       38.000000       1.9797866 
       39.000000       2.0068445 
       40.000000       2.0395858 
